CodigoCurso,AliasCurso,NombreCurso,CreditosClar
0773,MIA,MANEJO E IMPLEMENTACION DE ARCHIVOS,5
0781,OLC2,ORGANIZACION DE LENGUAJES Y COMPILADORES 2,6
0796,LFP,LENGUAJES FORMALES Y DE PROGRAMACION,4
