CodigoCurso,AliasCurso,MotivoAbandono
0773,MIA,Falta de tiempo
0773,MIA,Falta de tiempo
0773,MIA,Condiciones de estudio
0781,OLC2,Notas bajas
0781,OLC2,Conflictos con catedrático o tutor (auxiliar)
0781,OLC2,Falta de tiempo
0781,OLC2,Falta de tiempo
0781,OLC2,Falta de tiempo
0781,OLC2,Falta de tiempo
0796,LFP,Notas bajas
